,x,y,goal,header
0,41,88,True,False
1,52,85,False,False
2,52,96,True,True
3,33,81,False,False
4,30,75,False,False
5,39,90,False,False
6,36,69,False,False
7,58,86,False,False
8,32,90,False,False
9,36,73,False,False
10,54,94,True,False
11,58,92,False,True
12,40,72,False,False
13,48,87,False,False
14,50,92,True,False
15,64,71,False,False
16,50,92,False,True
17,59,75,False,False
18,54,92,True,True
19,55,77,False,False
20,68,91,False,False
21,56,90,False,True
22,56,72,False,False
23,47,87,False,False
24,72,86,False,False
25,66,66,False,False
26,33,92,False,False
27,66,73,False,False
28,54,68,False,False
29,32,92,False,True
30,63,94,True,False
31,34,90,False,False
32,44,91,True,True
33,58,73,False,False
34,37,89,False,False
35,29,80,False,False
36,59,89,False,True
37,56,92,False,False
38,42,93,False,False
39,38,88,False,True
40,41,77,False,False
41,29,79,False,False
42,38,80,False,False
43,34,86,False,False
44,39,74,False,False
45,44,88,False,False
46,55,87,False,False
47,48,87,False,False
48,66,72,False,False
49,58,71,False,False
50,67,78,False,False
51,55,89,True,False
52,26,92,False,True
53,76,75,False,False
54,52,87,True,False
55,30,81,False,False
56,24,91,True,False
57,47,74,False,False
58,46,93,True,True
59,34,75,False,False
60,39,79,False,False
61,24,89,False,False
62,33,71,False,False
63,23,78,False,False
64,43,84,False,False
65,47,93,False,True
66,23,76,False,False
67,37,89,False,False
68,51,90,False,False
69,40,97,False,True
70,49,95,True,True
71,57,92,False,True
72,49,77,False,False
73,55,81,False,False
74,42,90,True,False
75,55,86,False,False
76,43,88,False,False
77,59,81,False,False
78,30,76,False,False
79,48,93,True,True
80,35,86,False,False
81,56,93,False,True
82,67,91,False,False
83,30,87,False,False
84,47,91,False,True
85,33,82,False,False
86,28,68,False,False
87,61,96,False,False
88,50,93,False,True
89,34,97,False,False
90,28,84,False,False
91,49,91,False,False
92,60,85,True,False
93,57,86,False,False
94,54,95,False,True
95,45,83,False,False
96,65,76,False,False
97,67,83,False,False
98,72,79,False,False
99,59,83,False,False
100,73,83,False,False
101,24,88,False,False
102,49,94,True,True
103,30,86,False,False
104,63,89,False,False
105,35,75,False,False
106,52,90,False,True
107,31,92,False,False
108,35,82,False,False
109,61,87,False,False
110,61,87,False,False
111,67,88,False,False
112,35,77,False,False
113,70,89,False,False
114,51,74,False,False
115,26,83,False,False
116,37,71,False,False
117,27,91,False,False
118,50,75,False,False
119,37,92,True,False
120,31,79,False,False
121,70,78,False,False
122,67,78,False,False
123,52,86,False,False
124,33,90,False,False
125,52,92,True,True
126,59,87,False,True
127,66,87,False,False
128,67,86,False,False
129,33,87,False,False
130,52,82,False,False
131,29,85,False,False
132,27,85,False,False
133,33,89,False,False
134,43,75,False,False
135,67,90,False,False
136,30,89,False,False
137,42,88,True,False
138,32,93,False,False
139,38,71,True,False
140,63,77,False,False
141,33,87,False,False
142,51,82,False,False
143,46,74,False,False
144,49,95,False,True
145,33,85,False,False
146,43,88,False,True
147,26,77,False,False
148,53,72,False,False
149,47,71,False,False
150,51,75,False,False
151,37,94,False,False
152,50,89,False,False
153,63,74,False,False
154,48,94,True,False
155,34,86,False,False
156,36,92,False,False
157,47,88,True,False
158,51,75,False,False
159,36,82,False,False
160,39,96,False,False
161,35,90,False,False
162,58,89,False,False
163,64,95,False,True
164,43,94,False,False
165,31,76,False,False
166,52,94,False,True
167,45,95,False,False
168,41,89,False,False
169,33,93,False,False
170,32,80,False,False
171,49,78,False,False
172,46,86,False,False
173,74,86,False,False
174,50,78,False,False
175,55,93,False,False
176,61,91,False,False
177,66,91,False,False
178,49,81,False,False
179,25,80,False,False
180,20,79,False,False
181,66,93,False,False
182,43,90,False,True
183,60,81,False,False
184,28,91,False,False
185,49,82,False,False
186,41,70,False,False
187,57,96,False,True
188,54,85,False,False
189,66,78,False,False
190,25,79,False,False
191,67,87,False,False
192,36,90,False,False
193,56,95,True,True
194,32,90,True,False
195,53,93,True,False
196,31,54,False,False
197,66,90,False,False
198,46,88,False,True
199,65,87,False,False
200,57,96,True,False
201,32,81,False,False
202,41,94,False,True
203,59,93,False,True
204,65,85,False,False
205,23,75,False,False
206,69,91,False,False
207,49,87,False,False
208,40,86,False,False
209,52,99,True,True
210,48,90,False,True
211,46,86,False,False
212,25,80,False,False
213,75,89,False,False
214,38,97,False,False
215,79,88,False,False
216,47,97,False,True
217,76,74,False,False
218,31,87,False,False
219,22,90,False,False
220,42,98,True,True
221,58,84,False,False
222,56,99,False,False
223,49,74,False,False
224,58,72,False,False
225,54,86,False,True
226,38,96,False,True
227,47,90,False,False
228,30,89,False,False
229,50,89,False,False
230,68,77,False,False
231,48,91,False,True
232,45,93,False,False
233,28,69,False,False
234,29,78,False,False
235,52,79,False,False
236,37,87,False,False
237,45,97,False,False
238,63,83,False,False
239,43,89,False,True
240,62,95,False,False
241,39,80,False,False
242,53,80,False,False
243,36,86,False,True
244,39,95,False,False
245,44,92,False,True
246,70,94,False,False
247,68,86,False,False
248,28,83,False,False
249,33,76,False,False
250,33,90,False,False
251,40,86,False,False
252,46,87,False,False
253,59,95,True,False
254,54,89,False,True
255,50,94,False,True
256,65,95,False,False
257,64,72,True,False
258,28,77,False,False
259,68,97,False,False
260,32,93,False,False
261,37,73,False,False
262,52,76,False,False
263,30,88,False,False
264,41,86,False,False
265,66,77,False,False
266,55,89,False,True
267,44,97,False,True
268,45,94,False,True
269,73,86,False,False
270,57,77,False,False
271,56,77,False,False
272,44,75,False,False
273,58,74,False,False
274,39,75,False,False
275,29,81,False,False
276,62,92,True,False
277,56,92,False,True
278,60,77,False,False
279,33,90,False,False
280,51,87,False,False
281,59,93,False,True
282,32,90,False,True
283,60,89,False,False
284,47,74,False,False
285,56,69,False,False
286,19,74,False,False
287,23,88,False,False
288,53,82,False,False
289,29,82,False,False
290,31,74,False,False
291,68,90,False,False
292,40,84,True,False
293,44,87,False,False
294,55,93,False,False
295,36,72,False,False
296,58,88,False,False
297,59,86,False,True
298,50,73,False,False
299,56,86,False,False
300,70,88,False,False
301,50,91,True,False
302,47,87,False,True
303,46,78,False,False
304,52,80,False,False
305,53,91,False,False
306,56,71,False,False
307,39,86,False,False
308,56,76,False,False
309,56,82,False,False
310,54,93,False,False
311,37,92,True,True
312,42,78,False,False
313,47,86,False,False
314,49,71,False,False
315,67,73,False,False
316,19,73,False,False
317,73,73,False,False
318,47,93,False,True
319,32,94,False,False
320,56,95,False,True
321,38,79,False,False
322,68,93,False,False
323,80,78,False,False
324,33,88,False,False
325,49,74,False,False
326,55,93,False,False
327,26,85,False,False
328,44,76,False,False
329,57,72,False,False
330,29,89,False,False
331,42,86,False,False
332,59,90,False,False
333,43,88,False,False
334,44,89,True,False
335,34,89,False,True
336,54,70,False,False
337,31,91,False,False
338,69,89,False,False
339,67,87,False,False
340,27,80,False,False
341,65,81,False,False
342,35,89,False,False
343,30,75,False,False
344,79,83,False,False
345,65,89,False,False
346,65,91,False,False
347,41,73,False,False
348,56,76,False,False
349,50,77,False,False
350,44,90,False,True
